#|O| #20 #40 #60 #80
1 0.004 0.003 0.005 0.005
1.33 0.002 0.003 0.003 0.005
1.82 0.045 0.047 0.048 0.052
1.92 0.022 0.034 0.043 0.049
2 0.006 0.005 0.007 0.007
2.07 0.105 0.108 0.112 0.124
2.61 0.282 0.310 0.346 0.377
2.61 0.895 1.352 1.441 1.697
2.8 0.492 0.924 7.083 13.532
2.82 0.205 0.233 0.271 0.312
3 0.007 0.008 0.009 0.008
3 0.579 0.659 0.738 0.675
3.13 0.079 0.071 0.075 0.067
3.33 0.004 0.006 0.005 0.007
3.96 0.282 0.291 0.294 0.302
35.57 0.298 0.340 0.374 0.381
4 0.006 0.008 0.008 0.009
4.47 0.009 0.009 0.010 0.011
4.48 0.031 0.039 0.046 0.050
4.93 0.047 0.048 0.050 0.054
5 0.008 0.007 0.008 0.009
5.4 0.008 0.007 0.011 0.012
5.43 0.119 0.124 0.128 0.131
5.71 0.221 0.365 0.413 0.468
6.7 0.037 0.041 0.048 0.053
6.75 0.909 1.376 1.465 2.184
6.96 0.307 0.325 0.363 0.406
7.47 0.008 0.007 0.010 0.010
7.49 0.495 0.946 8.499 14.294
7.66 0.051 0.052 0.050 0.058
7.68 0.237 0.392 0.449 0.603
7.93 0.583 0.676 0.765 0.721
8.01 0.227 0.258 0.314 0.436
8.61 0.079 0.067 0.083 0.075
8.71 0.123 0.141 0.152 0.145
9.55 0.048 0.052 0.059 0.066
10.82 0.937 1.412 1.501 2.273
11.1 0.053 0.052 0.055 0.059
11.14 0.286 0.299 0.302 0.333
11.18 0.329 0.344 0.392 0.424
12.02 0.497 0.967 9.547 15.063
12.29 0.143 0.155 0.164 0.173
12.36 0.274 0.348 0.480 0.718
12.75 0.591 0.687 0.790 0.762
13.07 0.053 0.060 0.062 0.075
13.07 0.246 0.319 0.355 0.504
14.04 0.079 0.075 0.087 0.095
14.5 0.057 0.060 0.061 0.061
15.21 0.948 1.430 1.548 2.452
15.64 0.331 0.339 0.409 0.452
17.16 0.503 1.203 10.259 15.588
17.36 0.278 0.484 0.561 0.802
17.96 0.595 0.702 0.806 0.794
18.07 0.294 0.303 0.311 0.354
18.33 0.253 0.362 0.421 0.515
18.89 0.158 0.169 0.173 0.197
19.71 0.079 0.079 0.099 0.107
21.14 0.954 1.571 1.513 2.758
21.71 0.338 0.341 0.428 0.464
21.84 0.532 1.317 10.573 16.208
24.21 0.286 0.507 0.624 0.917
24.41 0.324 0.412 0.466 0.564
24.93 0.602 0.714 0.821 0.846
25.32 0.311 0.329 0.345 0.369
27.43 0.083 0.083 0.107 0.119
